,,"Stack definido: WhatsApp Business + formulario +
Sheet/CRM ligero",,Planned,Dec 19,"2, 4",,
"Herramientas
mínimas para
validar",,Tablero operativo,,Planned,Dec 19,"2, 4",,
"Herramientas
mínimas para
validar",,Canal interno de operaciones,,Done,Dec 19,"2, 4",,
"Adquisición de
clientes (llenar el
piloto)",,Formulario de captación mínima (o intake por WhatsApp),,Planned,Dec 22,1,,
"Adquisición de
clientes (llenar el
piloto)",,Tracker simple de adquisición (pipeline),,Planned,Dec 22,1,,
"Adquisición de
clientes (llenar el
piloto)",,Cadencia mínima de ejecución,,Done,Dec 22,,,
"Adquisición de
clientes (llenar el
piloto)",,"Esquema simple de referidos + mensaje post-servicio
(activación)",,Done,Dec 22,1,,
"Adquisición de
clientes (llenar el
piloto)",,Kit mínimo de adquisición (para copy/paste),,Done,Dec 22,"1, 5",,
"Administración
General",,"Crear NotebookLM con los documentos del piloto y otro
documentos de Maroa",,Planned,Dec 22,,,
"Adquisición de
clientes (llenar el
piloto)",,"Definición del gancho (1 párrafo): alcance + promesa ‘cero
drama’ + zona + cupo",,Done,Dec 26,"1, 5",,
"Adquisición de
clientes (llenar el
piloto)",,"Momento de pedir referido definido (al agendar y post-
servicio) + script corto",,Done,Dec 26,"1, 5",,
"Adquisición de
clientes (llenar el
piloto)",,"(Opcional) si hay data suficiente: estimación simple de
payback/CAC",,Not started,Dec 26,"1, 5",,
